,year,km,range,max_vel,zero_hundred,high_range,performance,four_wheel_drive,rear_wheel_drive,sell_type_Nuevo,sell_type_Ocasion,car_type_Model 3,car_type_Model S,car_type_Model X,car_type_Model Y,color_BLACK,color_BLUE,color_CHERRY,color_GREY,color_RED,color_SILVER,color_WHITE,country_france,country_italy,country_portugal,country_spain,predicted_price,real_price
1590,2024,17.0,455.0,217.0,6.9,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,40494.639196230775,40000.0
1383,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,43128.37688445307,45790.0
631,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,51618.85201269048,51275.0
53,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,51875.686235234534,45650.0
182,2022,37.0,602.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,34700.189579020014,39500.0
176,2023,29.0,547.0,261.0,3.3,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,40534.361838161836,42300.0
371,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,52296.883327157346,56280.0
122,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,52039.55639045448,53060.0
959,2025,25.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,115156.44619047617,118920.0
487,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,53629.53803660808,52690.0
310,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,42105.366710776136,39990.0
1431,2025,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,122130.04393988365,116590.0
807,2023,18.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,35382.57887008364,35700.0
889,2025,27.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,49989.31939641732,48860.0
1420,2025,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,115038.3275099809,108190.0
669,2024,2.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,112098.16452380954,108685.0
1575,2021,136.0,580.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,28560.288156288156,28300.0
1620,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,48641.47263004325,47675.0
13,2024,17.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,92110.81958874459,97500.0
418,2024,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,124716.90703519247,117590.0
842,2019,116.0,487.0,261.0,3.6,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,52274.33333333333,53300.0
1168,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,53523.926803013135,51975.0
777,2020,49.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,31509.06248313661,32300.0
878,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47698.97900871094,44370.0
1647,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,51042.46281187822,52975.0
278,2021,40.0,580.0,233.0,4.4,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,35240.372376158484,35900.0
964,2025,9771.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,43429.66851332877,41760.0
656,2024,6.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,109912.88480158731,109135.0
307,2024,0.0,600.0,322.0,2.1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,118656.17254263061,121690.0
1749,2020,39.0,409.0,225.0,5.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,30544.96277056277,28500.0
1571,2023,32.0,620.0,233.0,5.9,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,38524.1452486655,41100.0
51,2024,6630.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,46546.38417705736,43920.0
472,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,52452.433097326204,55390.0
1596,2023,23.0,455.0,217.0,6.9,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,39868.41512358986,39500.0
179,2020,73.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,30840.856551697474,32400.0
699,2024,4.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,53526.751774891774,55585.0
1556,2019,51.0,530.0,261.0,3.4,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,30999.385498692376,31100.0
642,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,43208.615449216915,44675.0
345,2024,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,59771.2343555364,62590.0
1036,2023,15.0,600.0,322.0,2.1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,89900.43333333332,83200.0
724,2024,13.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,51226.94088567504,47895.0
806,2023,19.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,35431.39938290415,35500.0
1540,2020,61.0,530.0,261.0,3.4,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,31798.595098237194,31200.0
496,2024,86.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,56180.69050081722,63050.0
96,2024,7086.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,47653.351165570726,48010.0
1140,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,60242.20431792797,63575.0
1481,2025,0.0,430.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,48360.20570086917,49740.0
1207,2025,0.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,116224.30278392097,123025.0
1826,2023,61.0,514.0,250.0,3.7,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,44871.27355699856,45000.0
69,2024,0.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,110479.17815138813,115670.0
907,2025,15.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,51543.27606461812,50090.0
1212,2025,5372.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,49803.06075195382,48865.0
1412,2025,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,110966.49457665338,107790.0
417,2024,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,115765.34967303468,112790.0
89,2024,8298.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,45328.62669514696,45420.0
594,2024,1.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,91095.73892857143,93265.0
1767,2021,77.0,580.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,31934.09920634921,32600.0
936,2025,4261.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,101716.2923076923,100080.0
783,2021,46.0,580.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,34985.11329446965,34100.0
1020,2025,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,54393.13979271759,56080.0
611,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,43059.11625921595,43625.0
55,2024,13.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,49394.96542667156,46990.0
697,2024,0.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,56806.32965914449,54975.0
1669,2025,1.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,104839.62108078621,103095.0
1569,2022,49.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,31807.303025859037,33200.0
857,2025,503.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,99793.43976190475,99600.0
1283,2025,21.0,600.0,322.0,2.1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,105931.2869047619,101880.0
157,2024,4260.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,48881.51883351261,52850.0
202,2024,23.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,94122.25690476189,95885.0
1308,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,58455.68864767567,58680.0
238,2024,12.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,51033.48357199659,51655.0
1574,2019,78.0,409.0,225.0,5.6,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,27831.6,25800.0
1039,2018,70.0,490.0,225.0,4.4,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,31647.097372288754,31000.0
1634,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,48537.49388044076,48975.0
1131,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,58811.27030701474,60975.0
1373,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,43128.37688445307,41680.0
85,2024,0.0,455.0,217.0,6.9,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,44813.79724915607,44260.0
1466,2025,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,53668.06295220331,55440.0
462,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,52452.433097326204,51390.0
1780,2023,17.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,36129.25166950645,35200.0
405,2024,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,108343.95170912058,117090.0
1831,2023,48.0,533.0,217.0,5.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,44868.61598852682,43000.0
602,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,43066.65939771906,46475.0
431,2024,0.0,430.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,43083.430946266846,44280.0
1435,2025,86.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,113385.93705877454,109290.0
209,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,42054.11706688094,43975.0
159,2024,0.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,60759.76226540066,58920.0
921,2025,1214.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,103437.33779131496,100380.0
1247,2025,5024.0,430.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,45360.182857142856,45525.0
904,2025,7286.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,48921.213078374145,46910.0
65,2024,34.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,114876.21539416724,106050.0
1066,2023,20.0,543.0,262.0,2.6,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,83325.0,82000.0
1299,2025,13.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,50382.068333127376,49330.0
1210,2025,3749.0,455.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,43772.73301587301,42605.0
1349,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,43208.03889302666,42640.0
447,2024,0.0,514.0,250.0,3.7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,57598.86215452848,53990.0
1530,2019,90.0,593.0,261.0,3.2,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,51142.0,43200.0
239,2024,0.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,52685.43308418473,51655.0
341,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,52333.192462959814,51290.0
1262,2019,64.0,542.0,249.0,3.0,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,52281.66666666666,55000.0
153,2024,0.0,600.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,49188.54833676975,49360.0
1081,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,41276.49464006139,43525.0
1287,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,41839.480675704785,42370.0
248,2024,0.0,514.0,250.0,3.7,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,60195.17714540361,60275.0
1421,2025,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,115038.3275099809,109390.0
484,2024,0.0,600.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,48925.32204675399,49590.0
845,2019,86.0,565.0,249.0,4.9,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,50219.66666666667,48900.0
83,2024,25.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,115468.89154135337,119820.0
62,2024,1015.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,104092.0311246483,100720.0
340,2024,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,48198.399899368706,47480.0
638,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,43685.143668623714,44675.0
489,2024,115.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,56180.69050081722,54700.0
624,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,50991.5587615463,49525.0
474,2024,0.0,514.0,250.0,3.7,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,57964.941931653935,56640.0
151,2024,1011.0,455.0,217.0,6.9,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,44294.88835893498,46720.0
529,2020,49.0,560.0,233.0,4.1,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,32686.329450853114,31200.0
963,2025,6315.0,430.0,217.0,6.9,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,42722.43511904762,40920.0
1040,2023,15.0,634.0,250.0,3.2,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,77889.46666666667,74000.0
909,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,52413.788415433635,52110.0
1171,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,53523.926803013135,53175.0
1508,2025,0.0,455.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,47480.03358201581,48940.0
57,2024,0.0,513.0,201.0,6.1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,38654.45381122146,38470.0
1292,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,48100.832732850264,46180.0
1150,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,53510.39706404444,51975.0
945,2025,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,121461.57369281046,117570.0
1250,2025,0.0,455.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,45036.90950146131,46115.0
1202,2025,0.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,116224.30278392097,113575.0
350,2024,21.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,41404.733867660056,41160.0
1123,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,53014.678910588074,52475.0
80,2024,23.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,108747.96954187092,109540.0
813,2020,57.0,440.0,225.0,5.6,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,29136.207702537737,31200.0
793,2023,23.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,35479.691352046124,36400.0
1527,2023,27.0,600.0,322.0,2.1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,91770.4,86500.0
1070,2025,1013.0,600.0,217.0,5.9,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,47359.999629648424,45500.0
1096,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,60352.49937602627,56155.0
633,2024,0.0,528.0,262.0,3.1,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,59840.826529581536,59775.0
1216,2025,0.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,53245.99219581311,51515.0
200,2024,0.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,101339.00666666665,103525.0
1121,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,49506.25537537024,50175.0
587,2024,99.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,100611.235,103425.0
408,2024,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,115348.87607257499,108190.0
1297,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,48100.832732850264,47530.0
790,2023,10.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,36228.3738195786,35700.0
201,2024,54.0,600.0,322.0,2.1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,113586.91699322418,121025.0
1166,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,50657.625228850105,50875.0
736,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,52958.1188789681,51575.0
852,2022,17.0,533.0,217.0,5.0,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,44812.068725431665,44800.0
1622,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,51659.906187030116,51175.0
1646,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,51042.46281187822,52625.0
1331,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,41941.95118654714,43830.0
1073,2025,8225.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,96955.86666666668,94675.0
1624,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,51659.906187030116,51675.0
6,2024,6198.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,90758.81503968254,88890.0
717,2024,0.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,56055.75761031096,56565.0
1093,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,52749.33007960121,52525.0
400,2024,15.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,51340.466580120745,53880.0
1799,2019,55.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,31413.890296993704,30100.0
1364,2025,0.0,702.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,47620.37449356136,48340.0
1693,2025,3.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,53786.45367965368,53965.0
1119,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,49506.25537537024,48975.0
1701,2025,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,51722.46988798893,48975.0
517,2018,127.0,490.0,225.0,4.4,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,28921.885714285712,28600.0
